Dataset,Model,Preprocessor,Fit Time (s),Predict Time (s),Peak Memory (MB),Balanced Accuracy,Precision Macro,Recall Macro,F1 Macro,Average Precision,Error
iranian,SVM,Standard Scaler,0.11146609783172608,0.06197383403778076,1.2939786911010742,0.7850301359868673,0.9313346819394053,0.7850301359868673,0.8347086693903943,0.8786631479711511,
iranian,SVM,Robust Scaler,0.12117946147918701,0.06616773605346679,1.2945022583007812,0.7501178687959792,0.9170787675082884,0.7501178687959792,0.8018474420015405,0.8491301790260832,
iranian,SVM,Uniform Binning,0.11930322647094727,0.06136257648468017,1.294672966003418,0.7014221875443325,0.9080386164843228,0.7014221875443325,0.7547029430777782,0.7887817196441298,
iranian,SVM,Quantile Binning,0.1307384490966797,0.06092591285705566,1.295426368713379,0.6965496422998196,0.9086702582348606,0.6965496422998196,0.7496822688410998,0.8379428526809013,
iranian,SVM,Random Undersampling,0.031970429420471194,0.0429882287979126,1.3190231323242188,0.7524733599497396,0.6357406676356138,0.7524733599497396,0.6062612151249881,0.35049543569736796,
iranian,SVM,SMOTE,0.8580272197723389,0.20910425186157228,1.2946090698242188,0.7562638672152078,0.6379879912718154,0.7562638672152078,0.6133149114349551,0.3490228573786257,
iranian,Random Forest,Baseline,0.3324880838394165,0.027531075477600097,1.294388771057129,0.8973771760938736,0.9322638130684876,0.8973771760938736,0.9132265636139127,0.9228965263114123,
iranian,Random Forest,Yeo-Johnson,0.43672947883605956,0.05883886814117432,1.3015384674072266,0.9004172830999332,0.9333137256448174,0.9004172830999332,0.9153200019547281,0.9228148889110503,
iranian,Random Forest,Quantile Transform,0.44132561683654786,0.04483191967010498,1.2981805801391602,0.8992300224955923,0.9321463471142867,0.8992300224955923,0.9141505007063735,0.926936912128119,
iranian,Random Forest,Min-Max Scaler,0.4122838735580444,0.03567678928375244,1.2975730895996094,0.899417992420404,0.932787129851737,0.899417992420404,0.9146770483908486,0.9227717281519718,
iranian,Random Forest,Standard Scaler,0.37339560985565184,0.04197523593902588,1.298558235168457,0.8985855541819507,0.933499884953364,0.8985855541819507,0.9144829544955178,0.9278135075800957,
iranian,Random Forest,Robust Scaler,0.3547408103942871,0.03286707401275635,1.2978668212890625,0.9000406339298379,0.9314963706028434,0.9000406339298379,0.9142900100998576,0.9226937451025196,
iranian,Random Forest,Uniform Binning,0.23567867279052734,0.03516550064086914,1.3227567672729492,0.8047234258152118,0.8916170977887756,0.8047234258152118,0.8389410748968782,0.8390483218933635,
iranian,Random Forest,Quantile Binning,0.276132607460022,0.03935019969940186,1.2995414733886719,0.8645513446689501,0.8864864480048512,0.8645513446689501,0.8740119319386214,0.8859136596696056,
iranian,Random Forest,Random Undersampling,0.23614070415496827,0.0281203031539917,1.291783332824707,0.9365804470745598,0.830813421130071,0.9365804470745598,0.8688608374474445,0.855179421552927,
iranian,Random Forest,SMOTE,0.4978992700576782,0.02956695556640625,1.2934207916259766,0.9419258861439312,0.9083900404542279,0.9419258861439312,0.9235901983786432,0.9038676994116921,
iranian,MLP,Baseline,0.30019664764404297,0.011652398109436034,1.2939767837524414,0.6792155118253855,0.7485908524860122,0.6792155118253855,0.681033304626152,0.5692864929367388,
iranian,MLP,Yeo-Johnson,4.273008203506469,0.014154553413391113,1.2958145141601562,0.9215813387917233,0.9239132461840656,0.9215813387917233,0.9224469579726572,0.9478541752933431,
iranian,MLP,Quantile Transform,3.052545118331909,0.02162315845489502,1.2960596084594727,0.9052150659668037,0.9245451946730883,0.9052150659668037,0.9137489368727545,0.9280369873777637,
iranian,MLP,Min-Max Scaler,5.5450754404068,0.015023279190063476,1.2958145141601562,0.9137940133352249,0.923863683708624,0.9137940133352249,0.9181794724215242,0.9440030514725084,
iranian,MLP,Standard Scaler,3.8147183418273927,0.013485145568847657,1.320261001586914,0.9192286849198468,0.9225395970515656,0.9192286849198468,0.920712670158706,0.9502929699464226,
iranian,MLP,Robust Scaler,3.992847442626953,0.013842582702636719,1.2957687377929688,0.9198513264292808,0.9214959165859756,0.9198513264292808,0.9203167818216216,0.9501631988231717,
iranian,MLP,Uniform Binning,2.3800551652908326,0.014673447608947754,1.2953271865844727,0.799467016598099,0.9085144617782845,0.799467016598099,0.8399073910835069,0.8496636259670668,
iranian,MLP,Quantile Binning,2.7139012575149537,0.014234709739685058,1.2956552505493164,0.8600002634618893,0.8904505129790279,0.8600002634618893,0.8733116021408346,0.8864490250847095,
iranian,MLP,Random Undersampling,0.13056716918945313,0.01257181167602539,1.2905120849609375,0.7663351640556917,0.6720452309010909,0.7663351640556917,0.6352764514360926,0.5423353460198752,
iranian,MLP,SMOTE,0.5520125150680542,0.011360502243041993,1.2900590896606445,0.837251322376021,0.7509700538078057,0.837251322376021,0.7729287735284066,0.7305467732035054,
credit,Gaussian Naive Bayes,Baseline,0.18112411499023437,0.04843249320983887,6.654278755187988,0.5536331486101027,0.5598157032933385,0.5536331486101027,0.36400434817129623,0.331579966497527,
credit,Gaussian Naive Bayes,Yeo-Johnson,0.588345217704773,0.06492125988006592,6.651081085205078,0.57251703460317,0.7296890728253441,0.57251703460317,0.5749102047816221,0.49723046938643795,
credit,Gaussian Naive Bayes,Quantile Transform,0.31008741855621336,0.07970266342163086,6.677999496459961,0.572764946844796,0.7303481274824885,0.572764946844796,0.5755151577410536,0.4977559960312739,
credit,Gaussian Naive Bayes,Min-Max Scaler,0.23567214012145996,0.06584081649780274,6.651010513305664,0.5738206926797016,0.7297587970562931,0.5738206926797016,0.5766246298248852,0.4935427999934848,
credit,Gaussian Naive Bayes,Standard Scaler,0.24542531967163086,0.061985015869140625,6.6509504318237305,0.5757897264575327,0.7322578500980225,0.5757897264575327,0.5796943779686109,0.49351729747291245,
credit,Gaussian Naive Bayes,Robust Scaler,0.24723339080810547,0.06023707389831543,6.6511430740356445,0.5803890669647043,0.7380992393252154,0.5803890669647043,0.5869670404356839,0.4933955073628796,
credit,Gaussian Naive Bayes,Uniform Binning,0.23498075008392333,0.06084151268005371,6.6512298583984375,0.5780941189017905,0.7327410340971765,0.5780941189017905,0.5830710420918789,0.49151899223884365,
credit,Gaussian Naive Bayes,Quantile Binning,0.24465589523315429,0.06916124820709228,6.651483535766602,0.5717092382407538,0.7297335285664956,0.5717092382407538,0.5737561901570489,0.4984439885692435,
credit,Gaussian Naive Bayes,Random Undersampling,0.12521870136260987,0.04453387260437012,6.646670341491699,0.5424800687748297,0.5653296160358633,0.5424800687748297,0.3164557088897319,0.33351490991629584,
credit,Gaussian Naive Bayes,SMOTE,2.9603142976760863,0.04478771686553955,6.654335021972656,0.5413052802368156,0.5605774201106739,0.5413052802368156,0.3207636753852095,0.35155501650186805,
credit,Logistic Regression,Baseline,27.052291655540465,0.018707418441772462,6.671612739562988,0.6241452982993059,0.7380816445016849,0.6241452982993059,0.6448517981256363,0.5117239933637362,
credit,Logistic Regression,Yeo-Johnson,1.9421308517456055,0.027044224739074706,6.652702331542969,0.6550990858979158,0.7590729858161911,0.6550990858979158,0.6804334228042658,0.5492764247360629,
credit,Logistic Regression,Quantile Transform,2.791257071495056,0.04700760841369629,6.652742385864258,0.6565324234611264,0.759660021891945,0.6565324234611264,0.681960346333585,0.5484633345250763,
credit,Logistic Regression,Min-Max Scaler,1.1816385507583618,0.02913799285888672,6.652379989624023,0.6536458170484193,0.7583440201546687,0.6536458170484193,0.6788734126131418,0.5408785492495548,
credit,Logistic Regression,Standard Scaler,1.5772425889968873,0.0251798152923584,6.65239143371582,0.6535692878951733,0.7588764025945813,0.6535692878951733,0.6788707348169515,0.5426597728571855,
credit,Logistic Regression,Robust Scaler,2.976189684867859,0.023392415046691893,6.652486801147461,0.653515390799943,0.7589049347068342,0.653515390799943,0.678820462271764,0.5427292746835676,
credit,Logistic Regression,Uniform Binning,1.2689017534255982,0.026251792907714844,6.652889251708984,0.6532354301241161,0.7592837657409933,0.6532354301241161,0.6785733723770918,0.5380723776574581,
credit,Logistic Regression,Quantile Binning,3.2153919458389284,0.02846055030822754,6.6523332595825195,0.6504243453230403,0.7574929385207162,0.6504243453230403,0.6753981232810149,0.5470589477479383,
credit,Logistic Regression,Random Undersampling,10.39822814464569,0.018720126152038573,6.672858238220215,0.6966477485558819,0.6678164859859201,0.6966477485558819,0.677748897599874,0.5164393470061691,
credit,Logistic Regression,SMOTE,45.52574582099915,0.016876220703125,6.647495269775391,0.6539454468631108,0.6383808261100454,0.6539454468631108,0.6434510986892251,0.44907963596870165,
credit,KNN,Baseline,0.0639496088027954,11.480788326263427,6.646279335021973,0.552298217525412,0.595276687162946,0.552298217525412,0.5536994948253118,0.2971592987960604,
credit,KNN,Yeo-Johnson,0.4852567195892334,1.6076146125793458,6.651467323303223,0.6274175311352929,0.6889064422622908,0.6274175311352929,0.6436528640485959,0.4085261937990484,
credit,KNN,Quantile Transform,0.194742751121521,1.530919885635376,6.651956558227539,0.6284553930688419,0.6883839393393684,0.6284553930688419,0.6446029651905995,0.4063159520256786,
credit,KNN,Min-Max Scaler,0.13863420486450195,1.5091198444366456,6.651590347290039,0.6400733465583687,0.7019603899104553,0.6400733465583687,0.6576206340039554,0.4274276121840307,
credit,KNN,Standard Scaler,0.13368425369262696,1.5045671463012695,6.6579742431640625,0.632072212972648,0.6961592302937438,0.632072212972648,0.6491917642614182,0.41772571837366773,
