Dataset,Model,Preprocessor,Perspective,Peak_Memory_MB,Pipeline_Disk_Size_MB,Fit_Time_sec,Predict_Time_Test_sec,Converged,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_ROC_AUC,Test_PR_AUC,Test_MCC
kr-vs-kp,SVM,PCA (Scaled),Equity,5.621339797973633,0.2264213562011718,0.2168229444780283,0.03319580001860022,0.0,0.9977754363832885,0.9975719385642401,0.9478172626243623,0.9955026457833211,0.9950553830980992,0.9244950457657902
kr-vs-kp,SVM,Quantile Binning,Equality,5.619158744812012,0.4156389236450195,0.250370377752309,0.04405773334049925,0.0,0.9849389883683379,0.9853103171195435,0.7737771367388577,0.9813579109576489,0.9813221556721723,0.7626837980793828
kr-vs-kp,SVM,Quantile Binning,Equity,5.620744705200195,0.4264354705810547,0.260422100002567,0.052328844451241995,0.0,0.9847279645913284,0.985149096727352,0.7818363137142896,0.9812443330480051,0.9814092154391838,0.7659501637920652
kr-vs-kp,SVM,Quantile Transform,Equality,5.620070457458496,0.7968387603759766,0.49468841111390954,0.06978613332224387,0.0,0.986359913308964,0.9856157949807904,0.6830798981106422,0.9850827830705109,0.9844182854224262,0.6812209920665337
kr-vs-kp,SVM,Quantile Transform,Equity,5.621716499328613,0.8099613189697266,0.4988263777664138,0.0639935666436536,0.0,0.9842205829111483,0.9831424967825558,0.6808151518008809,0.9823342451208591,0.981428790558458,0.672358740094149
kr-vs-kp,SVM,Random Undersampling,Equality,5.62253475189209,0.1557321548461914,0.11707995553863129,0.020841411120879103,1.0,0.9967532272456825,0.9965380382989594,0.9246395767881792,0.9953594685000546,0.9948609380682711,0.9162053526543691
kr-vs-kp,SVM,Random Undersampling,Equity,5.621916770935059,0.2749156951904297,0.1744100222519288,0.03442881114056536,0.0,0.998017711075627,0.9978280568324429,0.9493946164786019,0.995776857080721,0.9952237258430617,0.930895419890039
kr-vs-kp,SVM,SMOTE (Raw),Equality,5.621236801147461,0.5173883438110352,0.13801818886875272,0.02191831110717931,1.0,0.9968044660417167,0.9965723110380568,0.929279997821884,0.9952108710451577,0.9946061958580721,0.9229614015555816
kr-vs-kp,SVM,SMOTE (Raw),Equity,5.621570587158203,0.6406841278076172,0.2032708555537586,0.029967288887645598,0.0,0.9981814139841759,0.9979887888221176,0.952792886980488,0.9960239833412118,0.9953187570418509,0.934110730796065
kr-vs-kp,SVM,SMOTE (Scaled),Equality,5.621250152587891,0.6415586471557617,0.2042907111139761,0.0371227333348037,0.0,0.9981774812358755,0.997991190170955,0.9530642684082672,0.9960239489067421,0.9953667722918358,0.934613250011082
kr-vs-kp,SVM,SMOTE (Scaled),Equity,5.621250152587891,0.6415586471557617,0.2042907111139761,0.0371227333348037,0.0,0.9981774812358755,0.997991190170955,0.9530642684082672,0.9960239489067421,0.9953667722918358,0.934613250011082
kr-vs-kp,SVM,Select Percentile (ANOVA),Equality,5.619691848754883,0.0359439849853515,0.1296796666509989,0.0238112555428718,1.0,0.9404376612605277,0.925388955179067,0.8144415781365325,0.9390479631086839,0.9246709280392216,0.8149458242970022
kr-vs-kp,SVM,Select Percentile (ANOVA),Equity,5.621758460998535,0.0365047454833984,0.12934251115398687,0.02143971112349789,1.0,0.9398629302371664,0.9248712234826083,0.8144415781365325,0.9388327073457001,0.924291315428668,0.8149458242970022
kr-vs-kp,SVM,Select Percentile (MI),Equality,5.620412826538086,0.0357236862182617,0.45121306667311323,0.021339299985104067,1.0,0.945249045696189,0.9299603346315566,0.8286544738858268,0.9459374073293974,0.9318616407034094,0.8298645613812387
kr-vs-kp,SVM,Select Percentile (MI),Equity,5.621842384338379,0.0362844467163085,0.451900444420365,0.021489744449758645,1.0,0.9446856530198102,0.9294114641894975,0.8286544738858268,0.9449153029313822,0.9312542381056673,0.8298645613812387
kr-vs-kp,SVM,Standard Scaling,Equality,5.619418144226074,0.2618627548217773,0.1786335666612204,0.031929033329813804,0.0,0.9981692311344419,0.9980186320617485,0.9523924667518318,0.9961544955645548,0.9957669645284577,0.9333375479147966
kr-vs-kp,SVM,Standard Scaling,Equity,5.619418144226074,0.2618627548217773,0.1786335666612204,0.031929033329813804,0.0,0.9981692311344419,0.9980186320617485,0.9523924667518318,0.9961544955645548,0.9957669645284577,0.9333375479147966
kr-vs-kp,SVM,Uniform Binning,Equality,5.618730545043945,0.2050466537475586,0.15676078889777675,0.02569457778655401,0.0,0.9966163798554305,0.9963953222195185,0.9228860255569753,0.9952083022647557,0.9948542096999942,0.9131608454742308
