Dataset,Model,Preprocessor,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
kc2,XGBoost,Standard Scaling,9,,0.0581530999988899,0.0028132999996159,,,89.0,374.0,0.0,7.0,0.990460672905526,0.9773465546763552,0.9539655686720164,7.0,39.0,2.0,4.0,0.7583148558758316,0.5429374918011283,0.6343108212898084,
kc2,XGBoost,Standard Scaling,10,,0.0554690999997546,0.0027540999999473,,,89.0,374.0,0.0,7.0,0.9916722370766488,0.9792127453195636,0.9539655686720164,4.0,39.0,2.0,7.0,0.614190687361419,0.4096417710239791,0.4024811381306976,
kc2,XGBoost,MinMax Scaling,1,,0.0820206999997026,0.0046661999986099,0.5960779190063477,0.1413440704345703,88.0,373.0,0.0,8.0,0.9886757149240392,0.974219114602636,0.9473220532722348,7.0,36.0,6.0,4.0,0.8246753246753247,0.5466604548155349,0.4651705239840723,
kc2,XGBoost,MinMax Scaling,2,,0.0576180999996722,0.0030279000002337,,,90.0,373.0,0.0,6.0,0.9956713583556748,0.9874678450610463,0.9605510456741204,7.0,34.0,8.0,4.0,0.7380952380952381,0.4923316165608655,0.4014290565729851,
kc2,XGBoost,MinMax Scaling,3,,0.0592704000009689,0.0028190000011818,,,90.0,373.0,0.0,7.0,0.9921367568613362,0.9802619766935308,0.954328744840284,5.0,37.0,5.0,5.0,0.7702380952380954,0.5587996018565529,0.3809523809523809,
kc2,XGBoost,MinMax Scaling,4,,0.0574054999997315,0.0028870999994978,,,89.0,373.0,0.0,8.0,0.9886404466432658,0.9740623640959176,0.947765867797998,6.0,41.0,1.0,4.0,0.8952380952380952,0.8210784313725489,0.6653274530661402,
kc2,XGBoost,MinMax Scaling,5,,0.0635364999998273,0.0042723999995359,,,89.0,373.0,0.0,8.0,0.989137945330422,0.9746646492420038,0.947765867797998,3.0,38.0,4.0,7.0,0.7023809523809523,0.4378140603947055,0.2364386816681324,
kc2,XGBoost,MinMax Scaling,6,,0.0553617999994457,0.0027626000010059,,,91.0,374.0,0.0,5.0,0.9920900178253118,0.9809754867040796,0.967166567735332,4.0,39.0,2.0,7.0,0.6674057649667406,0.5568098471855406,0.4024811381306976,
kc2,XGBoost,MinMax Scaling,7,,0.0601960999993025,0.0029617999989568,,,88.0,374.0,0.0,8.0,0.989764371657754,0.9750071100348038,0.9473486470079449,4.0,37.0,4.0,7.0,0.6762749445676276,0.5535594540846642,0.301176889295036,
kc2,XGBoost,MinMax Scaling,8,,0.0543422999999165,0.0039655000000493,,,88.0,374.0,0.0,8.0,0.9892908868092692,0.9743383099584664,0.9473486470079449,7.0,39.0,2.0,4.0,0.7849223946784922,0.71906417775983,0.6343108212898084,
