Dataset,Model,Preprocessor,Fold,Converged,Fit_Time_sec,Predict_Time_Test_sec,Peak_Memory_MB,Pipeline_Disk_Size_MB,Train_TP,Train_TN,Train_FP,Train_FN,Train_ROC_AUC,Train_PR_AUC,Train_MCC,Test_TP,Test_TN,Test_FP,Test_FN,Test_ROC_AUC,Test_PR_AUC,Test_MCC,Error_Log
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,3,,0.0407300999995641,0.0251513999992312,,,24.0,444.0,1.0,17.0,0.9672238969580708,0.8998000677843203,0.733682918496888,2.0,49.0,0.0,3.0,0.9959183673469388,0.9666666666666666,0.6139406135149205,
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,4,,0.0411691999997856,0.022319100000459,,,23.0,445.0,0.0,18.0,0.969909564264182,0.9164858551614956,0.7342796625045116,3.0,49.0,0.0,2.0,0.9591836734693878,0.8314285714285714,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,5,,0.0409762999988743,0.0257664000000659,,,23.0,444.0,1.0,18.0,0.9681556590846806,0.9115244666844224,0.7167143282176431,4.0,49.0,0.0,1.0,0.9877551020408164,0.925,0.8854377448471462,
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,6,,0.0380528000005142,0.0297449999998207,,,26.0,443.0,2.0,15.0,0.9664565634420388,0.8933372046988137,0.7510359714529097,3.0,49.0,0.0,2.0,0.9755102040816326,0.8909090909090909,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,7,,0.0376782000003004,0.026730999999927,,,27.0,443.0,1.0,15.0,0.9886851136851136,0.9127369444919936,0.772493129415551,1.0,49.0,1.0,3.0,0.735,0.5192307692307692,0.3189526128295067,
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,8,,0.0436908000010589,0.0255231999999523,,,27.0,443.0,1.0,15.0,0.9673959673959672,0.903256948660062,0.772493129415551,0.0,50.0,0.0,4.0,0.895,0.517156862745098,0.0,
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,9,,0.0385313000006135,0.027495700000145,,,25.0,442.0,2.0,17.0,0.9692192192192192,0.906185898007946,0.7246354428928556,2.0,50.0,0.0,2.0,0.985,0.8928571428571428,0.6933752452815364,
climate-model-simulation-crashes,GaussianNB,IQR Capping + Scaling,10,,0.0327040000011038,0.0294059999996534,,,26.0,443.0,1.0,16.0,0.9657335907335908,0.9014056144117724,0.756604653608717,1.0,50.0,0.0,3.0,1.0,1.0,0.485642931178632,
climate-model-simulation-crashes,GaussianNB,IQR Removal,1,,0.058964100000594,0.0032339000008505,0.5394020080566406,0.0036706924438476,22.0,443.0,2.0,19.0,0.9650315154836944,0.8898739641950959,0.6825448987970256,3.0,49.0,0.0,2.0,0.9959183673469388,0.9666666666666666,0.7592566023652967,
climate-model-simulation-crashes,GaussianNB,IQR Removal,2,,0.0362432000001717,0.0034269000007043,,,25.0,445.0,0.0,16.0,0.9676075637160868,0.9042690669129266,0.7671982769318432,1.0,49.0,0.0,4.0,0.96734693877551,0.6961904761904762,0.4300065817837658,
